BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,RS_CIN_DL,RSRP,UE_Clutter,LOS,First_Diffraction,Last_Diffraction,Indoor_Path,Outdoor_Path,Penetrations_BT1,Penetration_Distance_BT1,Percent_Propagation_Path_BT1,Penetrations_BT2,Penetration_Distance_BT2,Percent_Propagation_Path_BT2,Penetrations_Trees,Penetration_Distance_Trees,Percent_Propagation_Path_Trees,Penetrations_Bridge,Penetration_Distance_Bridge,Percent_Propagation_Path_Bridge,Total_Penetrations,Propagation_Path,Log_Propagation_Path,BS_X,BS_Y,BS_Z,UE_X,UE_Y,UE_Z,Manhattan_Distance,Pathloss,BS_Clutter
0,200,32,210.2,53.512,-9.5858,2.1365,-72.961,27,1,0,0,0,209.8,0,0,0,0,0,100,0,0,0,0,0,0,0,209.8,2.3218,5.9526e+05,5.6327e+06,94,5.9509e+05,5.6326e+06,58.5,294,111.94,1
0,306,32,135.77,20.704,-11.044,17.532,-70.149,7,1,0,0,0,135.7,0,0,0,0,0,100,0,0,0,0,0,0,0,135.7,2.1326,5.9526e+05,5.6327e+06,94,5.9522e+05,5.6326e+06,67.5,175,109.13,1
0,306,32,130.25,14.676,-11.077,23.151,-68.899,10,1,10.378,0,0,130.2,0,0,0,0,0,100,0,0,0,0,0,0,0,130.2,2.1146,5.9526e+05,5.6327e+06,94,5.9523e+05,5.6326e+06,68.5,159,107.88,1
0,306,32,193.08,309.96,-6.6468,20.55,-79.274,27,0,21.332,0,34.149,158.6,0,0,0,3,34.149,100,0,0,0,0,0,0,3,192.75,2.285,5.9526e+05,5.6327e+06,94,5.9541e+05,5.6326e+06,87.5,272,118.25,1
0,200,32,209.44,308.02,-6.1317,11.294,-93.149,27,1,20.759,0,0,209.07,0,0,0,0,0,100,0,0,0,0,0,0,0,209.07,2.3203,5.9526e+05,5.6327e+06,94,5.9543e+05,5.6326e+06,89.5,294,132.13,1
0,59,32,258.37,299.44,-4.7569,17.882,-80.274,12,0,68.617,0,71.098,186.71,0,0,0,4,71.098,87.629,0,0,12.371,0,0,0,4,257.81,2.4113,5.9526e+05,5.6327e+06,94,5.9549e+05,5.6326e+06,72.5,352,119.25,1
0,179,32,319.9,7.7248,-3.3097,11.818,-74.086,10,0,177.38,0,69.648,250.18,0,0,0,4,69.648,100,0,0,0,0,0,0,4,319.83,2.5049,5.9507e+05,5.6329e+06,72,5.9503e+05,5.6326e+06,53.5,360,113.06,4
0,306,32,113.53,17.956,-12.659,23.329,-69.649,27,1,0,0,0,113.48,0,0,0,0,0,100,0,0,0,0,0,0,0,113.48,2.0549,5.9526e+05,5.6327e+06,94,5.9523e+05,5.6326e+06,68.5,143,108.63,1
0,59,32,203,306.59,-6.3246,8.3504,-92.461,5,0,20.335,0,117.96,84.67,0,0,0,7,117.96,100,0,0,0,0,0,0,7,202.63,2.3067,5.9526e+05,5.6327e+06,94,5.9543e+05,5.6326e+06,71.5,284,131.44,1
0,179,32,333.93,29.021,-5.2188,2.8103,-86.336,5,0,148.99,0,104.59,229.06,0,0,0,5,104.59,100,0,0,0,0,0,0,5,333.65,2.5233,5.9507e+05,5.6329e+06,72,5.9491e+05,5.6326e+06,41.5,454,125.31,4
0,179,32,333.28,29.873,-5.2288,2.5853,-87.274,5,0,154.83,0,105.71,227.28,0,0,0,5,105.71,100,0,0,0,0,0,0,5,332.99,2.5224,5.9507e+05,5.6329e+06,72,5.9491e+05,5.6326e+06,40.5,455,126.25,4
0,179,32,292.32,12.848,-4.2065,14.179,-74.649,5,0,172.34,0,98.965,193.26,0,0,0,2,98.965,100,0,0,0,0,0,0,2,292.23,2.4657,5.9507e+05,5.6329e+06,72,5.9501e+05,5.6326e+06,51.5,350,113.63,4
